ROOT_ID	Minimum_Distance_KM	Lat_Index	Lon_Index
16845	1.777	557	345
16751	1.379	558	344
17207	2.277	560	341
17554	2.365	561	338
16760	2.381	562	342
17680	2.472	568	344
16740	2.432	566	345
16746	2.321	554	347
17517	2.325	560	342
18264	0.328	556	347
18266	2.294	558	348
18268	1.982	557	343
18270	1.462	555	344
17263	1.680	560	342
19370	2.234	578	365
20353	2.319	576	367
21068	1.283	556	347
19571	1.641	571	337
21368	1.297	568	325
21319	2.111	558	344
21318	2.008	558	344
21544	2.487	567	344
19138	1.976	560	342
18512	2.155	560	332
22656	2.234	562	343
21326	1.576	568	325
16762	2.178	563	342
23445	2.485	552	410
23705	2.088	567	326
23559	0.886	468	391
23729	1.015	556	346
23763	2.371	556	344
23785	2.449	557	345
23770	1.603	559	346
23790	2.437	557	346
23676	2.307	557	344
23749	1.237	558	345
22036	2.009	550	409
23822	1.539	557	344
24859	1.181	377	559
20196	1.703	377	559
22659	2.469	566	345
25687	0.223	541	440
27423	1.945	539	458
24746	2.139	564	346
26179	1.064	459	289
22542	1.283	538	461
24496	2.213	562	332
26539	2.004	550	409
21915	2.487	560	342
17639	2.079	569	325
21632	2.475	179	458
32140	1.305	566	356
32161	1.795	566	356
32816	2.261	561	345
25412	0.507	476	415
34701	2.351	558	345
34595	2.467	557	346
17209	2.121	270	451
32823	2.353	561	341
34280	0.654	566	356
16926	2.101	559	342
33274	1.309	560	343
26877	0.850	537	459
36053	1.659	559	342
32139	1.468	566	356
34377	2.146	560	343
35970	2.229	561	329
35919	2.078	567	326
37059	0.334	566	356
37735	1.877	562	325
38894	1.806	562	325
39111	2.103	561	329
23272	2.326	468	391
39110	2.137	561	329
40213	0.624	585	319
40237	2.334	565	345
41560	1.920	566	345
41263	2.357	562	343
24343	0.902	559	342
41086	2.185	566	345
21673	1.376	567	338
28731	1.385	567	338
42809	1.780	550	410
29836	2.077	555	412
37347	1.754	511	305
37734	1.934	562	325
36369	1.500	579	362
57403	0.870	535	350
20177	1.754	278	449
40834	2.320	564	341
41347	1.282	566	356
59782	2.024	546	333
59788	2.180	546	332
59261	1.030	546	331
59262	2.252	545	331
21176	2.424	562	338
22665	2.247	561	343
62901	1.765	546	333
62902	2.180	547	333
62904	2.221	547	333
60914	2.075	459	307
63147	2.309	547	408
64534	2.155	546	333
65697	2.384	546	333
64829	1.534	641	372
64540	1.978	561	327
38896	1.488	561	329
68334	2.341	547	332
64966	2.180	559	355
55579	0.151	565	356
78943	1.175	569	325
71726	2.437	558	330
87130	0.905	551	282
89086	1.926	739	38
79767	0.720	562	340
62940	1.919	554	351
89680	0.939	502	334
95303	0.674	740	38
88053	1.879	502	339
43865	2.060	560	342
82036	0.971	707	489
107667	1.721	707	489
89091	2.004	740	38
88737	2.015	502	338
115585	2.472	559	345
115584	2.386	559	345
41879	2.218	455	210
123259	1.870	740	38
122197	2.061	740	38
63958	2.028	546	333
130397	2.391	450	180
130338	2.369	450	180
128287	1.582	451	181
132084	0.965	451	181
139713	0.714	583	317
137788	1.302	568	325
149061	1.616	581	362
131626	0.868	558	345
54504	1.358	509	308
150602	2.259	545	331
62630	0.847	546	331
163143	2.190	546	332
163144	1.234	546	332
163137	2.199	547	333
163139	2.263	547	333
163140	2.231	547	333
163141	2.249	547	333
163146	0.774	546	331
163149	1.675	544	330
150007	0.483	707	489
169530	2.033	546	332
170089	2.316	559	343
170112	2.125	559	343
44305	1.982	567	356
44302	1.867	567	356
169514	2.276	547	333
168424	1.019	546	332
171214	2.264	545	331
168429	2.187	544	330
168431	2.229	543	330
163153	2.211	543	330
169033	2.244	546	331
174072	0.302	563	343
179921	1.193	559	358
184146	2.061	559	350
192461	2.253	559	350
19724	1.085	560	336
185369	0.732	560	342
196968	2.482	558	352
184089	1.979	558	349
176223	1.792	557	342
195212	1.999	559	349
189898	2.053	559	349
178099	1.784	451	181
179722	1.478	451	181
209050	1.882	559	343
213137	1.567	560	340
222449	0.666	562	346
221061	2.216	564	327
17957	1.881	560	321
221750	2.497	560	345
227854	2.460	563	326
71898	1.873	578	363
231794	1.924	560	343
219655	2.241	458	221
233176	2.162	546	333
229345	1.647	567	342
232205	2.445	559	342
21770	1.994	562	346
238349	1.490	582	320
155780	0.584	551	405
245394	0.968	547	443
222329	2.073	562	346
249893	0.802	535	456
256680	1.590	563	387
222330	2.079	562	346
265135	2.061	472	396
260729	1.705	447	417
260941	1.935	558	338
262224	2.312	560	339
249451	1.833	520	342
261305	2.343	557	339
48755	1.337	558	338
262981	1.792	559	338
265662	0.269	558	337
262493	1.669	558	338
156422	2.247	551	403
276823	1.874	447	417
280461	2.108	560	342
285696	0.287	468	319
285720	1.511	572	335
285722	2.370	532	308
283282	1.196	539	332
262271	1.305	447	416
291071	2.071	558	338
23588	1.613	557	345
291739	1.791	558	337
293864	2.019	559	339
294588	1.729	557	339
294119	2.342	559	337
293812	1.310	558	338
297490	1.788	558	338
31354	2.366	560	342
260296	2.112	447	416
305672	2.037	557	338
306251	2.078	558	338
306917	2.453	556	337
198637	1.887	584	315
308628	2.193	559	337
301565	1.427	560	342
312600	1.255	557	345
313480	2.136	558	338
314852	1.791	558	337
314954	2.023	558	338
21609	2.316	560	342
42961	1.973	560	342
325481	2.041	554	351
325017	1.550	554	351
327828	1.584	451	181
320946	0.468	538	459
327625	0.412	397	197
329705	2.144	458	221
321681	1.050	561	329
320633	1.091	561	329
327282	1.224	556	350
331895	2.343	458	221
328568	2.225	545	331
326979	1.653	554	350
326983	2.003	554	350
328733	1.347	562	346
325014	2.136	554	351
325015	2.337	554	351
325026	2.490	554	352
327327	1.816	555	353
327293	2.228	555	352
324412	2.150	451	371
327283	2.343	555	352
340546	1.193	683	596
24320	2.409	560	342
353246	2.396	560	339
361116	0.456	559	338
363711	2.019	510	311
355261	1.276	559	338
365064	2.398	509	308
361627	2.024	559	339
352723	0.752	558	338
374809	0.767	558	338
49210	2.174	537	458
389543	1.432	558	338
383862	2.469	561	344
361904	1.013	493	311
387501	0.624	561	339
22594	2.232	560	342
360921	2.318	561	343
376065	2.484	558	342
402783	1.214	52	547
366479	1.466	497	346
405410	1.933	556	339
418248	2.451	573	327
366447	1.677	497	346
17274	1.215	561	341
334094	0.840	565	322
338338	2.142	560	341
412286	2.292	561	344
432793	1.971	580	315
372423	2.075	478	416
337553	2.276	564	326
452468	2.038	573	320
321261	0.968	545	331
433109	2.488	562	342
16763	2.066	561	342
249298	0.470	575	331
455706	1.843	584	325
459454	2.484	581	323
17635	2.242	562	339
454303	1.396	585	304
39936	1.559	590	329
52724	1.919	560	342
393882	1.477	559	341
461148	2.049	560	341
462321	2.188	560	341
46773	2.039	560	342
80061	0.893	569	325
60124	2.077	573	369
369359	1.157	538	377
463608	1.201	580	361
464745	1.497	547	443
462529	1.187	576	312
374472	1.115	483	400
447095	2.360	579	328
466112	2.429	619	522
445773	1.576	578	328
475952	2.258	574	365
479924	2.219	619	521
17229	1.552	279	449
483673	2.239	416	192
484825	1.389	584	331
484886	1.491	584	331
489994	1.232	584	326
272630	1.412	569	355
484314	1.149	584	326
499682	1.496	561	334
497397	1.486	561	334
497399	1.486	561	334
498514	1.568	584	331
486706	0.186	585	323
501432	2.497	579	312
485987	2.231	535	456
502643	0.230	584	331
497846	2.283	585	324
510765	2.313	585	323
250428	1.821	535	456
512494	2.127	471	337
504867	2.323	471	337
545610	1.211	528	352
544670	1.190	565	356
546476	2.369	542	411
547433	1.767	562	385
551008	2.342	526	352
423986	2.235	498	365
569619	2.453	527	351
475928	2.125	548	335
587401	2.258	559	342
587403	2.254	559	342
584108	0.917	577	328
385720	2.196	281	372
590606	2.175	573	327
590857	2.301	575	331
598081	2.380	474	320
598077	2.326	474	320
560231	2.351	529	351
597764	1.196	294	563
597768	2.457	294	563
597775	1.590	295	563
611574	1.179	425	392
18962	1.815	560	341
