ROOT_ID;HEIGHT1[cm];HEIGHT2[cm];WIDTH[m];ORDER;AREA[m2]
16740;49.75;45;16.00;6;22769064.9
17207;31;27;60.00;9;1324204906
17680;18;12;8.00;4;270212.98
21326;17.75;20;9.00;6;16424905.63
21368;15.5;16;35.00;9;530637855
22036;37.5;30;75.00;10;1941708998
22656;12.25;7;1.58;5;1288908.446
22659;25.75;29;10.00;6;22751050.66
23445;15.75;16;22.00;9;1941708998
23588;14.5;9;0.75;6;5262882.265
25687;20.75;18;10.00;9;170579462.6
32139;42.5;37;5.50;4;422422.519
32816;36.25;28;8.00;8;70443200.08
34280;11;11;7.00;6;5707704.583
35919;22.5;18;6.00;8;33409133.45
35970;21.25;21;14.00;8;138823561.9
37735;13;13;3.00;6;6428084.859
38894;16.75;13;2.00;5;2882223.345
39110;16.25;16;13.00;5;3252598.764
39111;12;12;7.00;8;138385016.5
42809;25.25;25;80.00;10;1941708998
59262;29;20;14.00;6;8636197.914
63147;25.75;26;88.50;10;1941708998
64534;23.75;18;8.00;7;22651752.01
137788;22.25;22;29.00;9;530700884
174072;20.5;21;2.50;5;812434.011
221750;33.25;27;4.00;5;2805717.373
233176;23.75;18;13.00;7;22640044.39
249893;27.25;20;450.00;10;401029422.8
276823;21.25;23;30.00;11;9872703653.00
283282;28;28;0.90;6;9703628.697
372423;31.75;29;3.00;7;13250766.82
485987;21.75;26;1.20;5;401029422.8
